,InvoiceNo,CustomerID,InvoiceDate,Country,TotalAmount
0,536365,17850,12/1/2010 8:26,United Kingdom,40.68
1,536366,17850,12/1/2010 8:28,1,22.200000000000003
2,536367,13047,12/1/2010 8:34,United Kingdom,278.73
3,536368,13047,12/1/2010 8:34,United Kingdom,70.05000000000001
4,536369,13047,12/1/2010 8:35,United Kingdom,17.85
5,536370,12583,12/1/2010 8:45,France,855.86
6,536371,13748,12/1/2010 9:00,United Kingdom,204.0
7,536372,17850,12/1/2010 9:01,United Kingdom,22.200000000000003
8,536373,17850,12/1/2010 9:02,United Kingdom,259.86
9,536374,15100,12/1/2010 9:09,United Kingdom,350.4
10,536375,17850,12/1/2010 9:32,United Kingdom,259.86
11,536376,15291,12/1/2010 9:32,United Kingdom,328.8
12,536377,17850,12/1/2010 9:34,United Kingdom,22.200000000000003
13,536378,14688,12/1/2010 9:37,United Kingdom,444.98
14,536380,17809,12/1/2010 9:41,United Kingdom,34.8
15,536381,15311,12/1/2010 9:41,United Kingdom,449.98
16,536382,16098,12/1/2010 9:45,United Kingdom,430.6
17,536384,18074,12/1/2010 9:53,United Kingdom,489.6
18,536385,17420,12/1/2010 9:56,United Kingdom,130.85
19,536386,16029,12/1/2010 9:57,United Kingdom,508.20000000000005
20,536387,16029,12/1/2010 9:58,United Kingdom,3193.92
21,536388,16250,12/1/2010 9:59,United Kingdom,226.14
22,536389,12431,12/1/2010 10:03,Australia,358.25
23,536390,17511,12/1/2010 10:19,United Kingdom,1825.74
24,536392,13705,12/1/2010 10:29,United Kingdom,318.14
25,536393,13747,12/1/2010 10:37,United Kingdom,79.6
26,536394,13408,12/1/2010 10:39,United Kingdom,1024.68
27,536395,13767,12/1/2010 10:47,United Kingdom,507.88
28,536396,17850,12/1/2010 10:51,United Kingdom,376.36
29,536397,17924,12/1/2010 10:51,United Kingdom,279.0
30,536398,13448,12/1/2010 10:52,United Kingdom,426.56
31,536399,17850,12/1/2010 10:52,United Kingdom,22.200000000000003
32,536400,13448,12/1/2010 10:53,United Kingdom,17.4
33,536401,15862,12/1/2010 11:21,United Kingdom,354.23
34,536402,15513,12/1/2010 11:22,United Kingdom,357.0
35,536403,12791,12/1/2010 11:27,Netherlands,192.60000000000002
36,536404,16218,12/1/2010 11:29,United Kingdom,471.3
37,536405,14045,12/1/2010 11:32,United Kingdom,326.4
38,536406,17850,12/1/2010 11:33,United Kingdom,353.14
39,536407,17850,12/1/2010 11:34,United Kingdom,22.200000000000003
40,536408,14307,12/1/2010 11:41,United Kingdom,783.11
41,536409,17908,12/1/2010 11:45,United Kingdom,243.28
42,536412,17920,12/1/2010 11:49,United Kingdom,514.41
43,536415,12838,12/1/2010 11:57,United Kingdom,390.79
44,536416,13255,12/1/2010 11:58,United Kingdom,225.7
45,536420,16583,12/1/2010 12:03,United Kingdom,233.45
46,536423,18085,12/1/2010 12:08,United Kingdom,303.9
47,536425,13758,12/1/2010 12:08,United Kingdom,362.45
48,536437,13694,12/1/2010 12:12,United Kingdom,842.12
49,536446,15983,12/1/2010 12:15,United Kingdom,440.89
50,536460,14849,12/1/2010 12:22,United Kingdom,295.54
51,536463,14849,12/1/2010 12:22,United Kingdom,17.4
52,536464,17968,12/1/2010 12:23,United Kingdom,277.35
53,536466,14849,12/1/2010 12:23,United Kingdom,42.9
54,536477,16210,12/1/2010 12:27,United Kingdom,2474.7400000000002
55,536488,17897,12/1/2010 12:31,United Kingdom,165.89
56,536500,17377,12/1/2010 12:35,United Kingdom,223.9
57,536502,16552,12/1/2010 12:36,United Kingdom,95.29
58,536508,17181,12/1/2010 12:38,United Kingdom,155.52
59,536514,17951,12/1/2010 12:40,United Kingdom,295.5
60,536520,14729,12/1/2010 12:43,United Kingdom,313.49
61,536521,12748,12/1/2010 12:48,United Kingdom,4.95
62,536522,15012,12/1/2010 12:49,United Kingdom,191.06
63,536523,12868,12/1/2010 12:50,United Kingdom,203.3
64,536524,17572,12/1/2010 12:51,United Kingdom,70.80000000000001
65,536525,14078,12/1/2010 12:54,United Kingdom,136.24
66,536526,14001,12/1/2010 12:58,United Kingdom,301.24
67,536527,12662,12/1/2010 13:04,Germany,261.48
68,536528,15525,12/1/2010 13:17,United Kingdom,313.93
69,536529,14237,12/1/2010 13:20,United Kingdom,161.0
70,536530,17905,12/1/2010 13:21,United Kingdom,201.75
71,536531,15485,12/1/2010 13:23,United Kingdom,950.09
72,536532,12433,12/1/2010 13:24,Norway,1919.1399999999999
73,536533,16955,12/1/2010 13:31,United Kingdom,156.1
74,536534,15350,12/1/2010 13:33,United Kingdom,115.65
75,536535,15605,12/1/2010 13:38,United Kingdom,194.85000000000002
76,536536,18144,12/1/2010 13:45,United Kingdom,165.04999999999998
77,536537,15922,12/1/2010 13:51,United Kingdom,369.5
78,536538,14594,12/1/2010 13:54,United Kingdom,255.0
79,536539,15165,12/1/2010 14:03,United Kingdom,487.75
80,536540,14911,12/1/2010 14:05,EIRE,540.38
81,536541,14911,12/1/2010 14:05,EIRE,15.0
82,536542,16456,12/1/2010 14:11,United Kingdom,787.4
83,536544,,12/1/2010 14:32,United Kingdom,5521.14
84,536551,17346,12/1/2010 14:34,United Kingdom,146.61
85,536555,,12/1/2010 14:37,United Kingdom,2.9699999999999998
86,536556,17643,12/1/2010 14:38,United Kingdom,101.55
87,536557,17841,12/1/2010 14:41,United Kingdom,537.38
88,536558,,12/1/2010 14:48,United Kingdom,99.75
89,536559,17873,12/1/2010 14:54,United Kingdom,215.14999999999998
90,536560,13093,12/1/2010 15:00,United Kingdom,799.4
91,536561,12921,12/1/2010 15:06,United Kingdom,322.40000000000003
92,536562,13468,12/1/2010 15:08,United Kingdom,308.65000000000003
93,536563,17760,12/1/2010 15:08,United Kingdom,172.54
94,536564,13468,12/1/2010 15:08,United Kingdom,51.4
95,536565,,12/1/2010 15:15,United Kingdom,6.7
96,536566,16928,12/1/2010 15:21,United Kingdom,116.25
97,536567,16048,12/1/2010 15:27,United Kingdom,251.40000000000003
98,536568,16048,12/1/2010 15:28,United Kingdom,5.04
99,536569,16274,12/1/2010 15:35,United Kingdom,357.95
100,536570,14496,12/1/2010 15:35,United Kingdom,304.34000000000003
101,536571,14696,12/1/2010 15:37,United Kingdom,294.62
102,536572,16539,12/1/2010 15:40,United Kingdom,442.34999999999997
103,536573,17025,12/1/2010 15:45,United Kingdom,143.12
104,536574,17025,12/1/2010 15:46,United Kingdom,17.85
105,536575,13777,12/1/2010 16:01,United Kingdom,1552.98
106,536576,13777,12/1/2010 16:11,United Kingdom,2558.42
107,536577,13777,12/1/2010 16:13,United Kingdom,497.0
108,536578,17690,12/1/2010 16:15,United Kingdom,279.6
109,536579,13777,12/1/2010 16:16,United Kingdom,315.96000000000004
110,536580,17690,12/1/2010 16:17,United Kingdom,97.19999999999999
111,536581,13777,12/1/2010 16:19,United Kingdom,330.0
112,536582,12947,12/1/2010 16:21,United Kingdom,304.04
113,536583,13777,12/1/2010 16:21,United Kingdom,198.0
114,536584,13777,12/1/2010 16:22,United Kingdom,1132.8000000000002
115,536585,17460,12/1/2010 16:24,United Kingdom,19.9
116,536586,18229,12/1/2010 16:25,United Kingdom,344.2
117,536587,14142,12/1/2010 16:33,United Kingdom,311.81
118,536588,17069,12/1/2010 16:49,United Kingdom,277.05
119,536589,,12/1/2010 16:50,United Kingdom,0.0
120,536590,13065,12/1/2010 16:52,United Kingdom,205.86
121,536591,14606,12/1/2010 16:57,United Kingdom,198.32
122,536592,,12/1/2010 17:06,United Kingdom,6915.65
123,536593,16835,12/1/2010 17:15,United Kingdom,81.75
124,536594,15235,12/1/2010 17:22,United Kingdom,79.5
125,536595,13576,12/1/2010 17:24,United Kingdom,349.15
126,536596,,12/1/2010 17:29,United Kingdom,38.09
127,536597,18011,12/1/2010 17:35,United Kingdom,102.78999999999999
128,536598,13090,12/2/2010 7:48,United Kingdom,160.6
129,536599,15694,12/2/2010 7:49,United Kingdom,306.4
130,536600,17850,12/2/2010 8:32,United Kingdom,251.62
131,536601,17850,12/2/2010 8:33,United Kingdom,22.200000000000003
132,536602,17850,12/2/2010 8:34,United Kingdom,163.76
133,536603,17850,12/2/2010 8:40,United Kingdom,22.200000000000003
134,536604,14741,12/2/2010 8:43,United Kingdom,184.5
135,536605,13715,12/2/2010 8:52,United Kingdom,272.65000000000003
136,536607,17732,12/2/2010 9:29,United Kingdom,303.97
137,536608,12855,12/2/2010 9:37,United Kingdom,38.1
138,536609,17850,12/2/2010 9:41,United Kingdom,244.46
139,536610,17850,12/2/2010 9:42,United Kingdom,22.200000000000003
140,536611,15752,12/2/2010 9:43,United Kingdom,259.65000000000003
141,536612,17850,12/2/2010 9:44,United Kingdom,206.76
142,536613,17855,12/2/2010 9:44,United Kingdom,208.97
143,536614,17850,12/2/2010 9:44,United Kingdom,22.200000000000003
144,536615,14047,12/2/2010 10:09,United Kingdom,286.92
145,536616,17925,12/2/2010 10:10,United Kingdom,244.08
146,536617,13941,12/2/2010 10:17,United Kingdom,1095.12
147,536618,17017,12/2/2010 10:17,United Kingdom,780.12
148,536619,17017,12/2/2010 10:18,United Kingdom,97.19999999999999
149,536620,14135,12/2/2010 10:27,United Kingdom,485.25
150,536621,13108,12/2/2010 10:35,United Kingdom,350.06
151,536623,15601,12/2/2010 10:39,United Kingdom,768.38
152,536624,13418,12/2/2010 10:45,United Kingdom,610.64
153,536626,13418,12/2/2010 10:46,United Kingdom,12.600000000000001
154,536627,15658,12/2/2010 10:53,United Kingdom,306.2
155,536628,17850,12/2/2010 10:54,United Kingdom,230.56
156,536629,17850,12/2/2010 10:55,United Kingdom,22.200000000000003
157,536630,17850,12/2/2010 10:56,United Kingdom,244.46
158,536631,17850,12/2/2010 10:58,United Kingdom,22.200000000000003
159,536632,14388,12/2/2010 11:02,United Kingdom,312.8
160,536633,14901,12/2/2010 11:20,United Kingdom,204.15
161,536634,18041,12/2/2010 11:21,United Kingdom,193.78
162,536635,15955,12/2/2010 11:22,United Kingdom,572.38
163,536636,15070,12/2/2010 11:23,United Kingdom,106.2
164,536637,18041,12/2/2010 11:35,United Kingdom,235.16
165,536638,16244,12/2/2010 11:41,United Kingdom,1056.63
166,536639,15111,12/2/2010 11:45,United Kingdom,288.5
167,536640,,12/2/2010 11:45,United Kingdom,45.85
168,536641,12748,12/2/2010 11:46,United Kingdom,4.25
169,536643,14390,12/2/2010 11:57,United Kingdom,223.7
170,536663,16546,12/2/2010 12:07,United Kingdom,299.40000000000003
171,536667,15260,12/2/2010 12:09,United Kingdom,362.5
172,536670,15260,12/2/2010 12:09,United Kingdom,58.0
173,536671,13305,12/2/2010 12:10,United Kingdom,136.2
174,536672,14491,12/2/2010 12:10,United Kingdom,127.2
175,536673,14060,12/2/2010 12:11,United Kingdom,339.84
176,536674,15923,12/2/2010 12:16,United Kingdom,127.08
177,536676,16752,12/2/2010 12:18,United Kingdom,207.5
178,536681,17287,12/2/2010 12:22,United Kingdom,113.92
179,536685,17850,12/2/2010 12:23,United Kingdom,380.46
180,536688,17850,12/2/2010 12:24,United Kingdom,22.200000000000003
181,536690,17850,12/2/2010 12:25,United Kingdom,331.26
182,536693,17850,12/2/2010 12:26,United Kingdom,22.200000000000003
183,536698,15363,12/2/2010 12:28,United Kingdom,326.0
184,536707,12915,12/2/2010 12:33,United Kingdom,199.65
185,536732,15544,12/2/2010 12:47,United Kingdom,354.54
186,536733,15738,12/2/2010 12:50,United Kingdom,329.65000000000003
187,536735,17381,12/2/2010 12:58,United Kingdom,211.2
188,536736,17381,12/2/2010 12:59,United Kingdom,824.88
189,536738,15827,12/2/2010 13:06,United Kingdom,98.18
190,536739,14180,12/2/2010 13:08,United Kingdom,201.75
