,StockCode,Description,UnitPrice
0,10002,INFLATABLE POLITICAL GLOBE ,1.0715277777777776
1,10080,GROOVY CACTUS INFLATABLE,0.3930434782608696
2,10120,DOGGY RUBBER,0.21
3,10123C,HEARTS WRAPPING TAPE ,0.48750000000000004
4,10123G,,0.0
5,10124A,SPOTS ON RED BOOKCOVER TAPE,0.42000000000000004
6,10124G,ARMY CAMO BOOKCOVER TAPE,0.42
7,10125,MINI FUNKY DESIGN TAPES,0.8596808510638299
8,10133,COLOURING PENCILS BROWN TUBE,0.6457999999999999
9,10134,,0.0
10,10135,COLOURING PENCILS BROWN TUBE,1.4101666666666666
11,11001,ASSTD DESIGN RACING CAR PEN,1.8781666666666665
12,15030,FAN BLACK FRAME ,0.29
13,15034,PAPER POCKET TRAVELING FAN ,0.36640845070422534
14,15036,ASSORTED COLOURS SILK FAN,1.0634160305343512
15,15039,SANDALWOOD FAN,1.231744966442953
16,15044A,PINK PAPER PARASOL ,3.6561538461538463
17,15044B,BLUE PAPER PARASOL ,3.4411290322580648
18,15044C,PURPLE PAPER PARASOL,3.817692307692308
19,15044D,RED PAPER PARASOL,3.31551724137931
20,15056BL,EDWARDIAN PARASOL BLACK,6.416809815950921
21,15056N,EDWARDIAN PARASOL NATURAL,6.925974304068523
22,15056P,EDWARDIAN PARASOL PINK,6.327466666666667
23,15056bl,EDWARDIAN PARASOL BLACK,12.489354838709678
24,15056n,EDWARDIAN PARASOL NATURAL,12.484761904761905
25,15056p,EDWARDIAN PARASOL PINK,12.5
26,15058A,BLUE POLKADOT GARDEN PARASOL,9.03191489361702
27,15058B,PINK POLKADOT GARDEN PARASOL,9.7412
28,15058C,ICE CREAM DESIGN GARDEN PARASOL,9.205753424657534
29,15060B,FAIRY CAKE DESIGN UMBRELLA,4.946165413533834
30,15060b,FAIRY CAKE DESIGN UMBRELLA,8.29
31,16008,SMALL FOLDING SCISSOR(POINTED EDGE),0.13422535211267606
32,16010,FOLDING CAMPING SCISSOR W/KNIF & S,0.09
33,16011,ANIMAL STICKERS,0.21
34,16012,FOOD/DRINK SPONGE STICKERS,0.21
35,16014,SMALL CHINESE STYLE SCISSOR,0.4014814814814815
36,16015,MEDIUM CHINESE STYLE SCISSOR,0.4507692307692308
37,16016,LARGE CHINESE STYLE SCISSOR,0.8460000000000001
38,16020C,CLEAR STATIONERY BOX SET ,0.7457894736842106
39,16033,MINI HIGHLIGHTER PENS,0.12
40,16043,POP ART PUSH DOWN RUBBER ,0.08
41,16045,POPART WOODEN PENCILS ASST,0.04225352112676056
42,16046,TEATIME PEN CASE & PENS,0.85
43,16048,TEATIME ROUND PENCIL SHARPENER ,0.32507246376811594
44,16049,TEATIME GEL PENS ASST,0.19999999999999998
45,16052,TEATIME PUSH DOWN RUBBER,0.5471428571428572
46,16053,,0.0
47,16054,POPART RECT PENCIL SHARPENER ASST,0.1288235294117647
48,16151A,FLOWERS HANDBAG blue and orange,0.9375
49,16156L,"WRAP, CAROUSEL",0.42
50,16156S,WRAP PINK FAIRY CAKES ,0.41440476190476194
51,16161G,WRAP BAD HAIR DAY,0.1
52,16161M,WRAP  PINK FLOCK,0.42
53,16161P,WRAP ENGLISH ROSE ,0.41944
54,16161U,WRAP SUKI AND FRIENDS,0.41955555555555557
55,16162L,THE KING GIFT BAG,0.5777777777777778
56,16162M,alan hodge cant mamage this section,0.33599999999999997
57,16168M,FUNKY MONKEY GIFT BAG MEDIUM,0.6164285714285714
58,16169E,WRAP 50'S  CHRISTMAS,0.4164705882352941
59,16169K,WRAP FOLK ART,0.3733333333333333
60,16169M,WRAP DAISY CARPET ,0.42
61,16169N,WRAP BLUE RUSSIAN FOLKART,0.42
62,16169P,WRAP GREEN RUSSIAN FOLKART ,0.27999999999999997
63,16202A,PASTEL PINK PHOTO ALBUM ,0.5
64,16202B,PASTEL BLUE PHOTO ALBUM ,0.3333333333333333
65,16202E,BLACK PHOTO ALBUM ,1.7625
66,16206B,RED PURSE WITH PINK HEART,1.25
67,16207A,PINK STRAWBERRY HANDBAG ,2.673142857142857
68,16207B,PINK HEART RED HANDBAG,2.5573684210526317
69,16216,LETTER SHAPE PENCIL SHARPENER,0.15244444444444444
70,16218,CARTOON  PENCIL SHARPENERS,0.26984375
71,16219,HOUSE SHAPE PENCIL SHARPENER,0.5126732673267326
72,16225,RATTLE SNAKE EGGS,1.4593269230769232
73,16235,RECYCLED PENCIL WITH RABBIT ERASER,0.31523529411764706
74,16236,KITTY PENCIL ERASERS,0.30455882352941177
75,16237,SLEEPING CAT ERASERS,0.2972818791946309
76,16238,PARTY TIME PENCIL ERASERS,0.3108823529411765
77,16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,0.8166666666666668
78,16248B,BLUE HOLE PUNCH,1.25
79,16254,TRANSPARENT ACRYLIC TAPE DISPENSER,1.2361111111111112
80,16258A,SWIRLY CIRCULAR RUBBERS IN BAG,0.5884999999999999
81,16259,PIECE OF CAMO STATIONERY SET,0.09333333333333334
82,17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,0.29
83,17003,BROCADE RING PURSE ,1.0639591836734694
84,17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,1.4000000000000001
85,17011A,,0.0
86,17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,1.37625
87,17012A,ORIGAMI VANILLA INCENSE/CANDLE SET ,1.9255223880597014
88,17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,1.8395402298850574
89,17012C,ORIGAMI LAVENDER INCENSE/CANDL SET ,1.7563218390804596
90,17012D,ORIGAMI ROSE INCENSE/CANDLE SET ,1.8204040404040405
91,17012E,ORIGAMI OPIUM INCENSE/CANDLE SET ,2.151818181818182
92,17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,1.778421052631579
93,17013D,ORIGAMI ROSE INCENSE IN TUBE,1.0793333333333333
94,17014A,ORIGAMI VANILLA INCENSE CONES,0.9512499999999999
95,17021,NAMASTE SWAGAT INCENSE,0.2947368421052632
96,17028J,INCENSE BAZAAR PEACH,0.42
97,17038,PORCELAIN BUDAH INCENSE HOLDER,0.42
98,17084A,TRANQUILITY MASALA INCENSE,0.21
99,17084J,LOVE POTION MASALA INCENSE,0.21
100,17084N,FAIRY DREAMS INCENSE ,0.3538613861386139
101,17084P,DRAGONS BLOOD INCENSE,0.3507692307692308
102,17084R,ASSORTED INCENSE PACK,0.20259259259259257
103,17090A,LAVENDER INCENSE 40 CONES IN TIN,1.17
104,17090D,VANILLA INCENSE 40 CONES IN TIN,1.1607142857142858
105,17091A,LAVENDER INCENSE IN TIN,0.7525925925925926
106,17091J,VANILLA INCENSE IN TIN,0.7027272727272726
107,17096,ASSORTED LAQUERED INCENSE HOLDERS,0.2792307692307692
108,17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",2.55
109,17109D,FLOWER FAIRY INCENSE BOUQUET,0.7533333333333333
110,17129F,BLUE GLASS GEMS IN BAG,1.3610344827586207
111,17136A,BLUE STONES ON WIRE FOR CANDLE,0.09476190476190476
112,17164B,ASS COL SMALL SAND GECKO P'WEIGHT,0.42000000000000004
113,17165D,ASS COL LARGE SAND FROG P'WEIGHT,0.9187500000000001
114,17174,ASSTD RASTA KEY-CHAINS,0.42
115,17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,3.75
116,18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,0.26625
117,18094C,WHITE AND BLUE CERAMIC OIL BURNER,1.91046511627907
118,18097A,PINK TALL PORCELAIN T-LIGHT HOLDER ,2.04
119,18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,3.0616
120,18098C,PORCELAIN BUTTERFLY OIL BURNER,3.476481481481482
121,18098c,PORCELAIN BUTTERFLY OIL BURNER,5.06
122,20615,BLUE POLKADOT PASSPORT COVER,2.5085567010309275
123,20616,CHERRY BLOSSOM PASSPORT COVER,1.8074647887323942
124,20617,FIRST CLASS PASSPORT COVER ,2.251860465116279
125,20618,QUEEN OF THE SKIES PASSPORT COVER ,2.0278947368421054
126,20619,TROPICAL PASSPORT COVER ,2.136767676767677
127,20622,VIPPASSPORT COVER ,2.4003846153846156
128,20652,BLUE POLKADOT LUGGAGE TAG ,1.5079761904761906
129,20653,CHERRY BLOSSOM LUGGAGE TAG,1.4815151515151515
130,20654,FIRST CLASS LUGGAGE TAG ,1.385
131,20655,QUEEN OF SKIES LUGGAGE TAG,1.7224242424242426
132,20657,TROPICAL LUGGAGE TAG,1.720909090909091
133,20658,RED RETROSPOT LUGGAGE TAG,1.7271818181818184
134,20659,ECONOMY LUGGAGE TAG,1.633846153846154
135,20661,BLUE POLKADOT PURSE ,3.397878787878788
136,20662,FIRST CLASS HOLIDAY PURSE ,2.879
137,20663,QUEEN OF THE SKIES HOLIDAY PURSE ,2.693
138,20664,TROPICAL HOLIDAY PURSE ,2.5416666666666665
139,20665,RED RETROSPOT PURSE ,3.991572327044025
140,20666,ECONOMY HOLIDAY PURSE,1.6172222222222221
141,20667,CHERRY BLOSSOM PURSE,2.490625
142,20668,DISCO BALL CHRISTMAS DECORATION,0.16364864864864864
143,20669,RED HEART LUGGAGE TAG,1.675
144,20670,VIP HOLIDAY PURSE,3.2436363636363637
145,20671,BLUE TEATIME PRINT BOWL ,0.8333333333333334
146,20674,GREEN POLKADOT BOWL,1.5588038277511962
147,20675,BLUE POLKADOT BOWL,1.5838837920489295
148,20676,RED RETROSPOT BOWL,1.6250980392156862
149,20677,PINK POLKADOT BOWL,1.6466176470588236
150,20678,LARGE BLACK DIAMANTE HAIRSLIDE,1.65
151,20679,EDWARDIAN PARASOL RED,6.99409090909091
152,20681,PINK POLKADOT CHILDRENS UMBRELLA,4.003333333333333
153,20682,RED RETROSPOT CHILDRENS UMBRELLA,3.948185483870968
154,20684,STRAWBERRY DREAM CHILDS UMBRELLA,3.356842105263158
155,20685,DOORMAT RED RETROSPOT,8.92015558698727
156,20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,3.8149367088607593
157,20689,,0.0
158,20694,FLORAL PINK MONSTER,4.796111111111111
159,20695,FLORAL BLUE MONSTER,4.25
160,20696,FLORAL SOFT CAR TOY,4.7219999999999995
161,20697,LITTLE GREEN MONSTER SOFT TOY,2.55
162,20698,LITTLE PINK MONSTER SOFT TOY,2.55
163,20699,MOUSEY LONG LEGS SOFT TOY,2.933333333333333
164,20700,GREEN CAT FLORAL CUSHION COVER ,4.890545454545455
165,20701,PINK CAT FLORAL CUSHION COVER ,3.66
166,20702,PINK PADDED MOBILE,4.343953488372093
167,20703,BLUE PADDED SOFT MOBILE,4.25
168,20704,MR ROBOT SOFT TOY,5.872222222222222
169,20705,MRS ROBOT SOFT TOY,4.708620689655173
170,20707,CRAZY DAISY HEART DECORATION,1.0896666666666666
171,20711,JUMBO BAG TOYS ,3.0919850187265916
172,20712,JUMBO BAG WOODLAND ANIMALS,2.916594533029613
173,20713,JUMBO BAG OWLS,2.7313362701908956
174,20716,PARTY FOOD SHOPPER BAG,1.2982666666666667
175,20717,STRAWBERRY SHOPPER BAG,1.67
176,20718,RED RETROSPOT SHOPPER BAG,1.7705119453924913
177,20719,WOODLAND CHARLOTTE BAG,1.2008508158508158
178,20723,STRAWBERRY CHARLOTTE BAG,1.193921832884097
179,20724,RED RETROSPOT CHARLOTTE BAG,1.1348314606741574
180,20725,LUNCH BAG RED RETROSPOT,2.1130933496034165
181,20726,LUNCH BAG WOODLAND,2.164373232799246
182,20727,LUNCH BAG  BLACK SKULL.,2.0904296296296296
183,20728,LUNCH BAG CARS BLUE,2.050818713450292
184,20731,POSY CANDY BAG,1.0282352941176471
185,20733,GOLD MINI TAPE MEASURE ,0.8453110047846889
186,20734,SILVER MINI TAPE MEASURE ,1.6724137931034482
187,20735,BLACK MINI TAPE MEASURE ,1.0998245614035087
188,20738,,0.0
189,20748,KENSINGTON COFFEE SET,13.083428571428572
190,20749,ASSORTED COLOUR MINI CASES,8.06266497461929
191,20750,RED RETROSPOT MINI CASES,8.119641943734015
192,20751,FUNKY WASHING UP GLOVES ASSORTED,2.3320796460176996
193,20752,BLUE POLKADOT WASHING UP GLOVES,2.3775974025974027
194,20754,RETROSPOT RED WASHING UP GLOVES,2.5024838709677417
195,20755,BLUE PAISLEY POCKET BOOK,0.9880952380952381
196,20756,GREEN FERN POCKET BOOK,0.8130434782608695
197,20757,RED DAISY POCKET BOOK ,0.9149999999999999
198,20758,ABSTRACT CIRCLES POCKET BOOK,0.8315217391304348
199,20759,CHRYSANTHEMUM POCKET BOOK ,0.8095238095238095
200,20760,GARDEN PATH POCKET BOOK,0.85
201,20761,BLUE PAISLEY SKETCHBOOK,4.429393939393939
202,20762,GREEN FERN SKETCHBOOK ,4.153214285714286
203,20763,DAISY SKETCHBOOK ,3.9829629629629633
204,20764,ABSTRACT CIRCLES SKETCHBOOK ,4.657820512820513
205,20765,CHRYSANTHEMUM SKETCHBOOK ,4.239180327868852
206,20766,GARDEN PATH SKETCHBOOK,4.427499999999999
207,20767,BLUE PAISLEY JOURNAL ,2.8604878048780487
208,20768,GREEN FERN JOURNAL ,2.6455357142857143
209,20769,DAISY JOURNAL ,2.7467647058823528
210,20770,ABSTRACT CIRCLE JOURNAL ,2.5002739726027396
211,20771,CHRYSANTHEMUM  JOURNAL,2.763170731707317
212,20772,GARDEN PATH JOURNAL,2.749090909090909
213,20773,BLUE PAISLEY NOTEBOOK,1.5230769230769228
214,20774,GREEN FERN NOTEBOOK,1.538125
215,20775,DAISY NOTEBOOK ,1.6656716417910447
216,20777,CHRYSANTHEMUM NOTEBOOK,1.7029999999999998
217,20778,GARDEN PATH NOTEBOOK ,1.4666666666666666
218,20780,BLACK EAR MUFF HEADPHONES,7.620333333333333
219,20781,GOLD EAR MUFF HEADPHONES,5.748620689655173
220,20782,CAMOUFLAGE EAR MUFF HEADPHONES,7.462142857142857
221,20785,FUSCHIA RETRO BAR STOOL,32.625
222,20793,BLUE TILED TRAY,5.625
223,20794,BLUE  TILE HOOK,3.505666666666667
224,20795,LARGE BLUE PROVENCAL CERAMIC BALL,2.5684615384615386
225,20796,SMALL BLUE PROVENCAL CERAMIC BALL,1.832222222222222
226,20798,CLEAR MILKSHAKE GLASS,2.025
227,20801,LARGE PINK GLASS SUNDAE DISH,1.590238095238095
228,20802,SMALL GLASS SUNDAE DISH CLEAR,1.914153846153846
229,20803,SMALL PINK GLASS SUNDAE DISH,1.0702272727272726
230,20816,GOLD FLOWER CUSHION COVER ,1.3
231,20818,GOLD TEDDY BEAR,5.54
232,20819,SILVER TEDDY BEAR,4.016666666666667
233,20820,SILVER LOOKING MIRROR,3.3000000000000003
234,20821,GOLDIE LOOKING MIRROR,4.95
235,20823,GOLD WINE GOBLET,0.7110000000000001
236,20825,,0.0
237,20826,SILVER APERITIF GLASS,0.658
238,20827,GOLD APERITIF GLASS,0.26
239,20828,GLITTER BUTTERFLY CLIPS,3.1613599999999997
240,20829,GLITTER HANGING BUTTERFLY STRING,2.436116504854369
241,20830,SILVER PHOTO FRAME,3.018684210526316
242,20831,GOLD PHOTO FRAME,2.737948717948718
243,20832,RED FLOCK LOVE HEART PHOTO FRAME,0.7310465116279069
244,20835,FRENCH LATTICE CUSHION COVER ,2.10375
245,20836,FRENCH PAISLEY CUSHION COVER,0.83
246,20837,FRENCH FLORAL CUSHION COVER ,0.9713333333333334
247,20838,FRENCH LATTICE CUSHION COVER ,1.859655172413793
248,20839,FRENCH PAISLEY CUSHION COVER ,2.3625471698113207
249,20840,FRENCH FLORAL CUSHION COVER ,1.962987012987013
250,20845,ZINC HEART LATTICE 2 WALL PLANTER,6.35
251,20846,ZINC HEART LATTICE T-LIGHT HOLDER,1.6094444444444445
252,20847,ZINC HEART LATTICE CHARGER LARGE,4.592222222222222
253,20848,ZINC HEART LATTICE CHARGER SMALL,2.95
254,20850,,0.0
255,20851,ZINC HEART LATTICE TRAY OVAL ,5.95
256,20854,BLUE PATCH PURSE PINK HEART,1.609111111111111
257,20856,DENIM PATCH PURSE PINK BUTTERFLY,1.6434920634920633
258,20857,BLUE ROSE PATCH PURSE PINK BUTTERFL,1.4849999999999999
259,20860,GOLD COSMETICS BAG WITH BUTTERFLY,1.05
260,20861,GOLD COSMETIC BAG PINK STAR,2.1
261,20863,,0.0
262,20864,,0.0
263,20866,BLUE ROSE FABRIC MIRROR,1.4654838709677418
264,20867,PINK ROSE FABRIC MIRROR,1.3288888888888888
265,20868,SILVER FABRIC MIRROR,0.7071739130434783
266,20869,GOLD FABRIC MIRROR,0.716
267,20871,OPULENT VELVET SET/3 CANDLES,4.21
268,20878,SET/9 CHRISTMAS T-LIGHTS SCENTED ,1.25
269,20886,BOX OF 9 PEBBLE CANDLES,2.4435514018691586
270,20892,SET/3 TALL GLASS CANDLE HOLDER PINK,10.621666666666666
271,20893,HANGING BAUBLE T-LIGHT HOLDER SMALL,2.805333333333333
272,20894,HANGING BAUBLE T-LIGHT HOLDER LARGE,3.707333333333333
273,20896,,0.0
274,20897,VINTAGE NOTEBOOK PARIS DAYS,3.163846153846154
275,20898,VINTAGE NOTEBOOK TRAVELOGUE,2.49
276,20901,VINTAGE KEEPSAKE BOX PINK FLOWER,4.652352941176471
277,20902,VINTAGE KEEPSAKE BOX PARIS DAYS,6.816315789473685
278,20903,VINTAGE KEEPSAKE BOX TRAVELOGUE,5.479122807017544
279,20906,VINTAGE NOTEBOOK BEAUTY GIRL,1.9666666666666668
280,20910,VINTAGE PHOTO ALBUM PARIS DAYS,4.762499999999999
